name,html_url,stargazers_count,forks,description,homepage,language,created_at,updated_at
FusionTable-Map-Template-2-Layers,https://github.com/datamade/FusionTable-Map-Template-2-Layers,0,0,Two layer Searchable Map Template using Google Maps and Fusion Tables,http://datamade.github.io/FusionTable-Map-Template-2-Layers/,JavaScript,2014-04-15T17:56:16Z,2014-05-13T19:48:38Z
gary-counts-hhmap,https://github.com/datamade/gary-counts-hhmap,0,0,"Map of the Hardest Hit properties in the City of Gary, IN",http://datamade.github.io/gary-counts-hhmap/,CSS,2014-04-23T17:23:06Z,2014-07-21T18:36:05Z
chicago-lots,https://github.com/datamade/chicago-lots,2,4,Explore City-owned lots in Chicago,http://chicagolots.org,JavaScript,2014-04-24T15:14:14Z,2014-11-25T04:03:01Z
wopr-grid,https://github.com/datamade/wopr-grid,0,0,Deprecated: merged in to plenario,https://github.com/datamade/plenario,CSS,2014-04-26T00:50:00Z,2014-06-17T14:56:42Z
seed,https://github.com/datamade/seed,0,0,Standard Energy Efficiency Database,,Groovy,2014-04-30T21:53:23Z,2014-05-01T14:27:19Z
eitc-map,https://github.com/datamade/eitc-map,1,2,Earned Income Tax Credit Map for Voices for Illinois Children,http://eitcworks.org/,JavaScript,2014-05-07T21:11:02Z,2016-11-30T06:49:19Z
opmaalinger,https://github.com/datamade/opmaalinger,2,0,Completed development projects in Denmark,http://datamade.github.io/opmaalinger/,JavaScript,2014-05-14T16:50:25Z,2015-05-04T16:28:28Z
large-lots-staging,https://github.com/datamade/large-lots-staging,0,0,Staging site for LargeLots.org,,JavaScript,2014-05-21T19:17:38Z,2014-06-16T22:23:21Z
chicagoelections,https://github.com/datamade/chicagoelections,0,0,Scraper for Chicago Elections,,,2014-05-27T17:26:52Z,2014-06-07T16:32:36Z
staging.crimearound.us,https://github.com/datamade/staging.crimearound.us,2,0,Staging site for CrimeAround.us,,JavaScript,2014-05-28T21:47:28Z,2014-06-06T22:31:12Z
election-money,https://github.com/datamade/election-money,1,2,Election Money - Bulk Downloads from the Illinois State Board of Elections,http://electionmoney.org,HTML,2014-06-06T02:11:55Z,2015-07-22T17:23:35Z
lobbying_federal_domestic,https://github.com/datamade/lobbying_federal_domestic,0,0,Public domain data collectors for federal domestic lobbying disclosures. https://github.com/unitedstates-influence/lobbying-federal-domestic/wiki,,Python,2014-06-06T14:24:46Z,2014-08-06T14:02:46Z
madedata,https://github.com/datamade/madedata,1,1,MadeData in S3 buckets from DataMade ,,Python,2014-06-09T17:31:31Z,2015-05-18T04:16:20Z
lascaux,https://github.com/datamade/lascaux,5,4,:globe_with_meridians: Web API for printing high resolution PDF maps,http://lascaux.datamade.us/,Python,2014-06-23T22:02:34Z,2016-09-19T16:08:06Z
name-cleaver,https://github.com/datamade/name-cleaver,2,0,"Parser and standardizer for politician, individual and organization names.",,,2014-07-08T14:09:57Z,2014-11-11T18:59:26Z
usaddress,https://github.com/datamade/usaddress,511,69,:us: a python library for parsing unstructured address strings into address components,https://parserator.datamade.us/usaddress,Python,2014-07-17T19:22:46Z,2016-12-23T17:39:32Z
bigeasy-budget,https://github.com/datamade/bigeasy-budget,3,1,:chart_with_upwards_trend: Budget visualization for the City of New Orleans. Based on Look at Cook.,,JavaScript,2014-07-18T16:13:21Z,2016-03-21T16:43:31Z
geomancer,https://github.com/datamade/geomancer,4,1,:dizzy: Open source tool to help journalists easily mash up data based on shared geography.,http://geomancer.io/,Python,2014-08-07T22:00:48Z,2015-10-21T22:23:25Z
pdf-filler,https://github.com/datamade/pdf-filler,3,0,PDF Filler is a RESTful service (API) to aid in the completion of existing PDF-based forms and empowers web developers to use browser-based forms and modern web standards to facilitate the collection of information.  ,,,2014-08-10T04:14:24Z,2015-11-10T16:36:02Z
dedupe-client,https://github.com/datamade/dedupe-client,0,0,Clients for the dedupe API,,,2014-08-11T14:37:30Z,2014-08-11T14:37:31Z
bravest-map-ever,https://github.com/datamade/bravest-map-ever,2,0,"Searchable map highlighting places that inspire, and encourage bravery and kindness in your community for the Born This Way Foundation.",http://datamade.github.io/bravest-map-ever/,JavaScript,2014-08-11T16:55:04Z,2016-12-14T01:37:21Z
ChicagoVacantBuildingData,https://github.com/datamade/ChicagoVacantBuildingData,0,1,Exploration of data from the City of Chicago's open data portal,,,2014-08-13T00:57:55Z,2014-08-13T00:57:44Z
pykalman,https://github.com/datamade/pykalman,0,0,"Kalman Filter, Smoother, and EM Algorithm for Python",,,2014-08-25T13:53:39Z,2014-08-04T08:27:14Z
parole-hearing-data,https://github.com/datamade/parole-hearing-data,0,0,,http://www.parolehearingdata.org/,Python,2014-08-28T19:23:56Z,2014-08-28T19:33:31Z
moman,https://github.com/datamade/moman,1,0,Fork of https://bitbucket.org/jpbarrette/moman,,Python,2014-08-29T04:10:45Z,2015-11-20T18:08:33Z
open-data-etl-utility-kit,https://github.com/datamade/open-data-etl-utility-kit,0,0,Use Pentaho's open source data integration tool (Kettle) to create Extract-Transform-Load (ETL) processes to update a Socrata open data portal.,,JavaScript,2014-09-24T22:26:43Z,2014-09-24T22:47:59Z
parserator,https://github.com/datamade/parserator,387,28,:bookmark: A toolkit for making domain-specific probabilistic parsers,http://parserator.datamade.us,Python,2014-10-16T03:54:11Z,2016-12-23T18:02:25Z
school-search-tool-ah,https://github.com/datamade/school-search-tool-ah,0,0,school search tool for Achieve Hartford,,JavaScript,2014-10-20T18:52:14Z,2014-10-21T17:04:48Z
probablepeople,https://github.com/datamade/probablepeople,131,28,:family: a python library for parsing unstructured western names into name components.,http://parserator.datamade.us/probablepeople,Python,2014-11-06T16:31:00Z,2016-12-22T21:11:42Z
hcluster,https://github.com/datamade/hcluster,3,3,Hierarchical Clustering Algorithms,,Python,2014-11-06T17:28:23Z,2016-11-23T16:24:20Z
mecharat,https://github.com/datamade/mecharat,8,0,:mouse: Robot Assisted Transcriptions,,Python,2014-11-14T14:24:46Z,2016-12-23T18:23:59Z
open-tracking-tools,https://github.com/datamade/open-tracking-tools,0,0,"Open source Java library for on-line vehicle tracking, path estimation and parameter learning.",,Java,2014-11-14T20:59:43Z,2014-11-14T20:59:44Z
address-matching-api,https://github.com/datamade/address-matching-api,1,0,,,,2014-11-17T17:56:43Z,2014-12-14T01:20:45Z
affinegap,https://github.com/datamade/affinegap,11,2,:triangular_ruler: A Cython implementation of the affine gap string distance,,Python,2014-11-19T18:53:54Z,2016-12-23T17:30:19Z
rlr,https://github.com/datamade/rlr,3,3,Regularized Logistic Regression,,Python,2014-11-19T23:52:43Z,2016-09-25T11:43:04Z
categorical-distance,https://github.com/datamade/categorical-distance,1,1,Compare categorical variables,,Python,2014-11-20T17:48:53Z,2016-06-10T01:10:01Z
open-ee-meter,https://github.com/datamade/open-ee-meter,4,1,"Data analysis & visualization of energy savings projects, to ultimately empower utilities and contractors to improve the efficacy of energy savings programs.",,Python,2014-11-25T22:24:36Z,2016-02-05T11:02:50Z
